edge_id,bank_edge_id,src,dst,repair_score,repair_reason
1897,5685,412,474,4.373011274488849,low_compatibility_junction
1898,6539,474,471,4.340259815042824,low_compatibility_junction
1899,3138,232,474,4.328017198354368,low_compatibility_junction
1900,5850,424,474,4.306025846475144,low_compatibility_junction
1901,5901,427,474,4.300755448270508,low_compatibility_junction
1902,17,0,474,4.286955866564938,low_compatibility_junction
1903,5303,384,474,4.28689769530779,low_compatibility_junction
1904,2507,181,474,4.270670867119457,low_compatibility_junction
1905,5916,428,474,4.260910015694648,low_compatibility_junction
1906,5875,425,474,4.245534110639627,low_compatibility_junction
1907,6527,474,232,4.241920594305127,low_compatibility_junction
1908,4617,331,474,4.239544040550339,low_compatibility_junction
1909,6538,474,428,4.232700753707026,low_compatibility_junction
1910,3936,284,474,4.226482518504053,low_compatibility_junction
1911,1940,145,474,4.211165895846417,low_compatibility_junction
1912,6537,474,424,4.207776750890882,low_compatibility_junction
1913,5553,404,421,3.8966203680592577,low_compatibility_junction
1914,2976,219,404,3.879667084679372,low_compatibility_junction
1915,5899,427,404,3.860640914244901,low_compatibility_junction
1916,5547,404,345,3.8449903533175154,low_compatibility_junction
1917,307,18,404,3.8408118168649814,low_compatibility_junction
1918,5539,404,242,3.8196285216251056,low_compatibility_junction
1919,15,0,404,3.8154939590421133,low_compatibility_junction
1920,5557,404,482,3.8053890816249565,low_compatibility_junction
1921,2054,153,404,3.803042043979397,low_compatibility_junction
1922,5146,372,404,3.8014846825615796,low_compatibility_junction
1923,5533,404,119,3.801153387823113,low_compatibility_junction
1924,5528,404,18,3.8001180539870933,low_compatibility_junction
1925,5542,404,308,3.791789249460494,low_compatibility_junction
1926,936,69,404,3.78616630121764,low_compatibility_junction
1927,895,66,404,3.7813373003775688,low_compatibility_junction
1928,5554,404,425,3.7796651527554768,low_compatibility_junction
1929,4661,334,404,3.7783283141266484,low_compatibility_junction
1930,2397,174,404,3.7768606047905675,low_compatibility_junction
1931,5795,421,404,3.7586747348259077,low_compatibility_junction
1932,5548,404,372,3.736942926877937,low_compatibility_junction
1933,5526,404,0,3.7329906575999474,low_compatibility_junction
1934,5546,404,334,3.7192396176667226,low_compatibility_junction
1935,1705,130,151,3.7167431697150803,low_compatibility_junction
1936,5538,404,232,3.6928423718109555,low_compatibility_junction
1937,2023,151,231,3.6896408838235404,low_compatibility_junction
1938,5534,404,153,3.6839910246390613,low_compatibility_junction
1939,5469,397,404,3.66449761726321,low_compatibility_junction
1940,3037,226,404,3.6605868754402824,low_compatibility_junction
1941,6670,482,404,3.64493278522712,low_compatibility_junction
1942,2028,151,343,3.6346570517830856,low_compatibility_junction
1943,2142,157,470,3.6170306566676986,low_compatibility_junction
1944,2031,151,394,3.608145792937843,low_compatibility_junction
1945,2034,151,510,3.591444449701108,low_compatibility_junction
1946,4647,333,455,3.583265546174981,low_compatibility_junction
1947,6293,455,198,3.579677590614958,low_compatibility_junction
1948,2032,151,435,3.5637740179528232,low_compatibility_junction
1949,2113,157,25,3.5635597133813093,low_compatibility_junction
1950,4205,302,74,3.5607912887366915,low_compatibility_junction
1951,2030,151,391,3.551232530177197,low_compatibility_junction
1952,5423,394,151,3.5464131632926685,low_compatibility_junction
1953,5837,424,157,3.544054550559132,low_compatibility_junction
1954,2015,151,48,3.543931178113701,low_compatibility_junction
1955,5628,409,74,3.535141197687864,low_compatibility_junction
1956,4538,327,151,3.535023745138494,low_compatibility_junction
1957,2115,157,55,3.52557365579629,low_compatibility_junction
1958,3031,226,259,3.523985239686408,low_compatibility_junction
1959,685,48,151,3.523045342005887,low_compatibility_junction
1960,4749,343,151,3.515773054791733,low_compatibility_junction
1961,2699,199,278,3.5133535829318827,low_compatibility_junction
1962,2027,151,327,3.5107872618033578,low_compatibility_junction
1963,973,74,306,3.5052627911688097,low_compatibility_junction
1964,4041,292,157,3.496107747126853,low_compatibility_junction
1965,6304,455,422,3.4942602059202246,low_compatibility_junction
1966,4015,291,157,3.4912942480046323,low_compatibility_junction
