query_id,reachable,num_adjacent_edge_pairs,strict_compatible_rate
0,True,6,1.0
1,True,4,0.75
2,True,14,0.7142857142857143
3,True,5,1.0
4,True,4,1.0
5,False,0,0.0
6,True,4,0.75
7,True,5,1.0
8,True,3,0.3333333333333333
9,True,5,0.8
10,True,15,0.7333333333333333
11,False,0,0.0
12,True,4,0.75
13,True,5,1.0
14,False,0,0.0
15,False,0,0.0
16,True,3,0.6666666666666666
17,False,0,0.0
18,False,0,0.0
19,True,6,0.6666666666666666
20,True,6,1.0
21,True,13,0.6923076923076923
22,True,4,0.75
23,True,5,1.0
24,True,5,0.6
25,True,5,1.0
26,True,5,0.6
27,True,5,0.6
28,False,0,0.0
29,True,4,1.0
30,True,5,1.0
31,True,6,1.0
32,True,5,0.8
33,True,15,0.7333333333333333
34,True,5,1.0
35,True,3,0.6666666666666666
36,True,4,0.75
37,True,3,0.6666666666666666
38,True,2,1.0
39,True,5,0.6
40,True,15,0.7333333333333333
41,True,6,0.8333333333333334
42,True,4,0.75
43,False,0,0.0
44,True,6,1.0
45,False,0,0.0
46,True,5,1.0
47,True,4,0.25
48,True,6,0.8333333333333334
49,True,4,1.0
50,True,15,0.8
51,False,0,0.0
52,True,4,1.0
53,False,0,0.0
54,True,14,0.7857142857142857
55,True,4,0.75
56,False,0,0.0
57,True,4,1.0
58,True,4,0.5
59,True,6,1.0
60,True,3,0.6666666666666666
61,False,0,0.0
62,True,5,1.0
63,True,6,1.0
64,True,4,1.0
65,True,5,1.0
66,True,6,1.0
67,True,6,0.6666666666666666
68,False,0,0.0
69,True,6,1.0
70,True,5,0.8
71,True,4,1.0
72,True,1,1.0
73,True,4,0.5
74,True,5,0.6
75,True,5,0.8
76,True,4,1.0
77,False,0,0.0
78,True,5,1.0
79,False,0,0.0
80,True,4,0.75
81,True,5,1.0
82,True,5,0.8
83,True,2,1.0
84,True,6,0.8333333333333334
85,True,5,0.8
86,False,0,0.0
87,False,0,0.0
88,True,4,0.75
89,True,5,0.6
90,True,1,1.0
91,True,7,1.0
92,True,7,1.0
93,True,6,0.6666666666666666
94,True,6,1.0
95,True,6,1.0
96,True,5,0.8
97,True,5,1.0
98,True,6,1.0
99,True,3,0.3333333333333333
100,True,4,0.75
101,True,5,0.8
102,True,6,0.8333333333333334
103,False,0,0.0
104,True,4,0.75
105,True,6,1.0
106,True,7,1.0
107,True,4,0.75
108,True,4,1.0
109,True,5,1.0
110,True,15,0.7333333333333333
111,True,4,0.75
112,False,0,0.0
113,True,5,0.8
114,True,6,0.6666666666666666
115,True,5,1.0
116,True,5,1.0
117,True,6,0.8333333333333334
118,True,4,0.75
119,False,0,0.0
120,True,5,0.8
121,True,3,0.3333333333333333
122,True,6,0.8333333333333334
123,True,6,0.6666666666666666
124,True,3,0.6666666666666666
125,False,0,0.0
126,False,0,0.0
127,True,4,0.5
128,False,0,0.0
129,True,5,0.4
130,True,5,0.8
131,True,5,0.8
132,True,14,0.7857142857142857
133,True,5,0.8
134,False,0,0.0
135,True,5,1.0
136,True,6,0.8333333333333334
137,True,14,0.7142857142857143
138,True,4,0.75
139,False,0,0.0
140,True,5,0.8
141,False,0,0.0
142,False,0,0.0
143,True,14,0.7142857142857143
