edge_id,bank_edge_id,src,dst,repair_score,repair_reason
2743,250,9,179,4.614562773144822,low_compatibility_junction
2744,10736,498,179,4.607762622481107,low_compatibility_junction
2745,4226,198,179,4.606598244333849,low_compatibility_junction
2746,10441,483,179,4.556642730889783,low_compatibility_junction
2747,1316,61,21,4.521547175684097,low_compatibility_junction
2748,3826,179,43,4.503223756266469,low_compatibility_junction
2749,6606,302,21,4.500788208674888,low_compatibility_junction
2750,9051,418,179,4.490951657800575,low_compatibility_junction
2751,3846,179,253,4.48066922243868,low_compatibility_junction
2752,3832,179,129,4.4769263050221815,low_compatibility_junction
2753,4153,195,21,4.47278101677828,low_compatibility_junction
2754,3856,179,313,4.471475776721903,low_compatibility_junction
2755,3842,179,245,4.449913810174477,low_compatibility_junction
2756,3877,179,488,4.449828743983498,low_compatibility_junction
2757,3823,179,13,4.442951477379996,low_compatibility_junction
2758,3844,179,250,4.433097946339322,low_compatibility_junction
2759,3824,179,34,4.428809860546299,low_compatibility_junction
2760,3847,179,256,4.427320917521282,low_compatibility_junction
2761,3859,179,333,4.4196833409602005,low_compatibility_junction
2762,3864,179,392,4.415331566843526,low_compatibility_junction
2763,3873,179,472,4.408167927081979,low_compatibility_junction
2764,3858,179,322,4.402409983729413,low_compatibility_junction
2765,3835,179,158,4.390752049287623,low_compatibility_junction
2766,516,21,141,4.387280020508721,low_compatibility_junction
2767,505,21,31,4.383516928981619,low_compatibility_junction
2768,3861,179,353,4.380526239692448,low_compatibility_junction
2769,545,21,381,4.368233482356548,low_compatibility_junction
2770,539,21,319,4.36349736095323,low_compatibility_junction
2771,7714,354,179,4.356689558497088,low_compatibility_junction
2772,509,21,74,4.353341636189724,low_compatibility_junction
2773,3216,155,179,4.350522722550125,low_compatibility_junction
2774,547,21,409,4.3401391842900585,low_compatibility_junction
2775,5566,257,179,4.334520208871834,low_compatibility_junction
2776,521,21,186,4.332560268644118,low_compatibility_junction
2777,10107,471,179,4.329193287703847,low_compatibility_junction
2778,3977,186,21,4.324182166092817,low_compatibility_junction
2779,5341,249,179,4.321376730016854,low_compatibility_junction
2780,518,21,156,4.3208253234555505,low_compatibility_junction
2781,554,21,449,4.311124626065976,low_compatibility_junction
2782,4997,236,179,4.303030909794025,low_compatibility_junction
2783,4125,194,179,4.300741959513678,low_compatibility_junction
2784,3872,179,471,4.293862596094396,low_compatibility_junction
2785,10039,467,179,4.291368916612115,low_compatibility_junction
2786,10867,506,179,4.266457318854401,low_compatibility_junction
2787,9691,446,179,4.262991531207003,low_compatibility_junction
2788,9004,416,179,4.254267444664918,low_compatibility_junction
2789,3840,179,236,4.250173561392115,low_compatibility_junction
2790,10812,504,179,4.244850812067993,low_compatibility_junction
2791,3177,153,179,4.244395050504502,low_compatibility_junction
2792,504,21,12,4.241832364300108,low_compatibility_junction
2793,10030,467,21,4.239575311566864,low_compatibility_junction
2794,1581,75,179,4.236238483574368,low_compatibility_junction
2795,9151,423,179,4.234866244362878,low_compatibility_junction
2796,10099,471,21,4.2330269015855535,low_compatibility_junction
2797,3830,179,108,4.231774331067211,low_compatibility_junction
2798,3213,155,21,4.222792657551404,low_compatibility_junction
2799,3829,179,75,4.222046753102874,low_compatibility_junction
2800,3870,179,446,4.221351863300145,low_compatibility_junction
2801,4985,236,21,4.220295572348957,low_compatibility_junction
2802,7701,354,21,4.217708150800921,low_compatibility_junction
2803,3848,179,257,4.217112004898811,low_compatibility_junction
2804,2019,96,179,4.215745323736591,low_compatibility_junction
2805,3869,179,444,4.215745323736591,low_compatibility_junction
2806,10346,480,179,4.2134900505988835,low_compatibility_junction
2807,5123,242,179,4.211730241083708,low_compatibility_junction
2808,3854,179,300,4.211716704107826,low_compatibility_junction
2809,7074,323,179,4.209121472651194,low_compatibility_junction
2810,3853,179,292,4.206193402385219,low_compatibility_junction
2811,3875,179,479,4.203582044012114,low_compatibility_junction
2812,10860,506,21,4.201050310276702,low_compatibility_junction
2813,3104,149,278,4.200582768938834,low_compatibility_junction
2814,3852,179,286,4.1954806560184865,low_compatibility_junction
2815,5555,257,21,4.195153669977323,low_compatibility_junction
2816,4118,194,21,4.189317394340232,low_compatibility_junction
2817,3867,179,423,4.184293719979682,low_compatibility_junction
2818,3865,179,416,4.183332848816873,low_compatibility_junction
2819,5332,249,21,4.181858878255886,low_compatibility_junction
2820,542,21,354,4.181470599886541,low_compatibility_junction
2821,3879,179,506,4.179087503515663,low_compatibility_junction
2822,1576,75,21,4.1765936788613205,low_compatibility_junction
2823,10337,480,21,4.176559493117523,low_compatibility_junction
2824,522,21,193,4.173993749051386,low_compatibility_junction
2825,3866,179,422,4.171091413218776,low_compatibility_junction
2826,3862,179,354,4.169702001568964,low_compatibility_junction
2827,9711,447,149,4.166602104052633,low_compatibility_junction
2828,535,21,286,4.165909747714469,low_compatibility_junction
2829,524,21,235,4.1635712781254774,low_compatibility_junction
2830,3838,179,194,4.160627349743981,low_compatibility_junction
2831,3118,149,457,4.1564624741171174,low_compatibility_junction
2832,10231,475,179,4.154003498658585,low_compatibility_junction
2833,4360,202,21,4.153729766969714,low_compatibility_junction
2834,8162,377,21,4.153729766969714,low_compatibility_junction
2835,4894,231,149,4.146217577586297,low_compatibility_junction
2836,511,21,108,4.146163661474689,low_compatibility_junction
2837,550,21,423,4.14497718296995,low_compatibility_junction
2838,3843,179,249,4.142780422245095,low_compatibility_junction
2839,9141,423,21,4.139125537153796,low_compatibility_junction
2840,552,21,444,4.137511342721203,low_compatibility_junction
2841,8999,416,21,4.131987173758816,low_compatibility_junction
2842,3878,179,492,4.130341174201091,low_compatibility_junction
2843,562,21,506,4.129005348313223,low_compatibility_junction
2844,9685,446,21,4.127065834796495,low_compatibility_junction
2845,531,21,257,4.1103125241621505,low_compatibility_junction
2846,10805,504,21,4.108583794955991,low_compatibility_junction
2847,510,21,75,4.104722201587414,low_compatibility_junction
2848,2009,96,21,4.1035649963422305,low_compatibility_junction
