query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,158,212,True,3,66.578376160971,158 218 216 212,1133 1554 1515
1,203,303,True,3,63.38322539611917,203 221 281 303,1317 1598 2044
2,1,12,True,3,72.74276372093419,1 5 9 12,9 68 139
3,392,381,True,3,71.72938631663106,392 388 384 381,3030 2977 2922
4,41,9,True,3,69.95204508115664,41 22 5 9,442 243 68
5,347,353,True,5,62.89467419544839,347 367 368 372 373 353,2639 2775 2790 2832 2841
6,283,384,True,3,65.60771494434802,283 306 366 384,2075 2340 2762
7,367,292,True,3,71.39989981557414,367 390 352 292,2784 2997 2644
8,381,392,True,3,73.12845570251064,381 384 388 392,2884 2928 2984
9,384,383,True,1,13.034462275839779,384 383,2924
10,315,229,True,3,69.48728913749716,315 292 232 229,2411 2120 1759
11,238,132,False,0,inf,,
12,30,126,True,3,66.63485872381045,30 28 67 126,354 334 634
13,223,340,True,3,66.49192305445986,223 221 281 340,1622 1598 2048
14,227,47,True,3,72.91241012926206,227 166 106 47,1672 1145 778
15,387,301,True,3,69.73257765494361,387 383 341 301,2962 2899 2604
16,300,366,True,3,71.45652201287149,300 303 306 366,2234 2290 2340
17,227,312,True,4,77.23594933152198,227 228 231 252 312,1687 1704 1749 1928
18,124,7,True,3,68.10116988615975,124 126 66 7,869 897 612
19,380,201,True,3,72.86083910604188,380 320 260 201,2861 2478 1948
20,306,201,True,3,70.82997294895151,306 302 241 201,2330 2259 1892
21,144,1,True,3,71.68397325644013,144 121 61 1,1023 821 598
22,260,383,True,3,58.79381358100885,260 321 382 383,1962 2509 2895
23,10,40,True,3,73.87076375283597,10 6 2 40,148 79 28
24,384,304,True,3,62.49629996197626,384 366 326 304,2919 2754 2516
25,127,4,True,3,62.9260356985435,127 107 46 4,921 795 454
26,318,392,True,3,67.73314635957747,318 316 333 392,2466 2440 2568
27,229,124,True,3,58.257326039117615,229 208 166 124,1709 1394 1147
28,301,227,True,4,82.57794789915738,301 241 223 226 227,2241 1898 1626 1670
29,198,230,True,3,63.63694536573317,198 218 234 230,1263 1557 1802
30,215,135,True,3,70.55900843213693,215 218 158 135,1504 1546 1119
31,221,381,True,3,68.51341725386021,221 281 321 381,1598 2047 2508
32,124,203,True,3,68.44497993988489,124 146 206 203,876 1065 1360
33,10,40,True,3,73.87076375283597,10 6 2 40,148 79 28
34,306,220,True,3,65.83432795360225,306 302 241 220,2330 2259 1895
35,55,6,True,3,67.64161282730117,55 32 8 6,521 371 119
36,144,0,True,4,80.69686475188661,144 121 61 41 0,1023 821 602 437
37,390,252,True,3,69.33756313761685,390 372 312 252,3002 2825 2354
38,7,187,True,3,73.66665833066165,7 67 126 187,116 634 917
39,398,313,True,3,67.50185154122227,398 338 317 313,3043 2576 2450
40,76,6,True,3,72.5863577695683,76 53 10 6,664 497 148
41,233,138,True,3,70.96803521136633,233 237 178 138,1787 1845 1186
42,58,9,True,3,71.42200340584753,58 55 32 9,571 521 372
43,381,220,True,3,68.58452852131205,381 320 260 220,2872 2478 1950
44,153,238,True,4,82.58008827420606,153 135 158 218 238,1090 956 1133 1561
45,199,253,True,3,56.71886624176385,199 216 215 253,1274 1518 1512
46,153,238,True,4,82.58008827420606,153 135 158 218 238,1090 956 1133 1561
47,346,260,True,3,62.83208161426764,346 326 303 260,2623 2515 2278
48,41,10,True,3,73.31988589422596,41 2 6 10,439 21 86
49,155,236,True,3,70.00521169414645,155 137 198 236,1097 975 1265
50,3,147,True,3,71.50290229691288,3 26 87 147,43 303 744
51,139,212,True,4,76.14223113184194,139 159 199 216 212,987 1142 1274 1515
52,238,133,False,0,inf,,
53,386,301,True,4,66.32634943731762,386 366 306 305 301,2942 2753 2333 2314
54,327,260,True,3,55.878372353023536,327 326 303 260,2534 2515 2278
55,23,120,True,3,60.158194485645794,23 22 61 120,257 249 609
56,358,273,True,3,62.73101749189368,358 317 293 273,2671 2443 2144
57,4,52,True,3,68.71287209429553,4 8 31 52,52 130 368
58,186,235,True,3,70.57285584173599,186 209 232 235,1225 1422 1764
59,223,123,True,3,71.56166023275458,223 206 146 123,1620 1354 1052
60,107,210,True,3,67.37407239507509,107 167 207 210,810 1176 1385
61,358,353,True,3,69.37426177753778,358 317 313 353,2671 2450 2389
62,380,392,True,4,84.22208417565955,380 383 387 388 392,2871 2913 2966 2984
63,209,198,True,3,71.60438268438644,209 213 216 198,1415 1473 1514
64,261,347,True,3,69.78838927810196,261 282 305 347,1973 2063 2324
65,299,393,True,5,74.80470456050224,299 298 297 316 333 393,2221 2214 2207 2440 2569
66,138,232,True,3,72.13410031942657,138 199 216 232,984 1274 1522
67,46,52,True,6,66.15832292654538,46 27 28 29 30 31 52,461 314 330 345 356 368
68,152,238,True,4,88.69446506448762,152 134 157 178 238,1085 948 1114 1200
69,9,127,True,3,58.47533305270376,9 47 107 127,147 483 804
70,24,53,True,6,75.25308286419418,24 25 28 29 30 31 53,269 281 330 345 356 369
71,233,220,True,4,83.72302339985785,233 229 225 224 220,1780 1714 1653 1635
72,19,13,True,3,69.51847868185685,19 57 53 13,209 554 500
73,19,32,True,3,65.2995442669655,19 38 55 32,207 409 521
