condition,env,seed,event,phase,step,loss
loaded_baseline,antmaze-medium-diverse-v2,0,loaded,tdr,,
loaded_baseline,antmaze-medium-diverse-v2,0,loaded,policy,,
loaded_baseline,antmaze-medium-diverse-v2,0,loaded,reachability,,
loaded_baseline,antmaze-medium-diverse-v2,1,loaded,tdr,,
loaded_baseline,antmaze-medium-diverse-v2,1,loaded,policy,,
loaded_baseline,antmaze-medium-diverse-v2,1,loaded,reachability,,
loaded_baseline,antmaze-medium-diverse-v2,2,loaded,tdr,,
loaded_baseline,antmaze-medium-diverse-v2,2,loaded,policy,,
loaded_baseline,antmaze-medium-diverse-v2,2,loaded,reachability,,
loaded_baseline,antmaze-medium-play-v2,1,loaded,tdr,,
loaded_baseline,antmaze-medium-play-v2,1,loaded,policy,,
loaded_baseline,antmaze-medium-play-v2,1,loaded,reachability,,
loaded_baseline,antmaze-medium-play-v2,2,loaded,tdr,,
loaded_baseline,antmaze-medium-play-v2,2,loaded,policy,,
loaded_baseline,antmaze-medium-play-v2,2,loaded,reachability,,
loaded_baseline,antmaze-medium-play-v2,0,loaded,tdr,,
loaded_baseline,antmaze-medium-play-v2,0,loaded,policy,,
loaded_baseline,antmaze-medium-play-v2,0,loaded,reachability,,
loaded_baseline,antmaze-large-play-v2,0,loaded,tdr,,
loaded_baseline,antmaze-large-play-v2,0,loaded,policy,,
loaded_baseline,antmaze-large-play-v2,0,loaded,reachability,,
loaded_baseline,antmaze-large-play-v2,2,loaded,tdr,,
loaded_baseline,antmaze-large-play-v2,2,loaded,policy,,
loaded_baseline,antmaze-large-play-v2,2,loaded,reachability,,
loaded_baseline,antmaze-large-play-v2,1,loaded,tdr,,
loaded_baseline,antmaze-large-play-v2,1,loaded,policy,,
loaded_baseline,antmaze-large-play-v2,1,loaded,reachability,,
loaded_baseline,antmaze-large-diverse-v2,2,loaded,tdr,,
loaded_baseline,antmaze-large-diverse-v2,2,loaded,policy,,
loaded_baseline,antmaze-large-diverse-v2,2,loaded,reachability,,
loaded_baseline,antmaze-large-diverse-v2,1,loaded,tdr,,
loaded_baseline,antmaze-large-diverse-v2,1,loaded,policy,,
loaded_baseline,antmaze-large-diverse-v2,1,loaded,reachability,,
loaded_baseline,antmaze-large-diverse-v2,0,loaded,tdr,,
loaded_baseline,antmaze-large-diverse-v2,0,loaded,policy,,
loaded_baseline,antmaze-large-diverse-v2,0,loaded,reachability,,
pu_retrain,antmaze-medium-diverse-v2,0,loaded,tdr,,
pu_retrain,antmaze-medium-diverse-v2,0,loaded,policy,,
pu_retrain,antmaze-medium-diverse-v2,0,train_start,reachability,,
