condition,env,variant,lambda_risk,found,total_risk,total_boundary,total_cost,objective,num_edges,num_subgoals
loaded_baseline,antmaze-large-diverse-v2,full_bars,0.0,1.0,2.0992971253156916,0.39923407151796336,1.2736580828980852,1.393428306759391,1.5078125,0.5078125
loaded_baseline,antmaze-large-diverse-v2,full_bars,0.1,1.0,1.8588214585094345,0.3945356857027869,1.2887970877345651,1.5930399422558406,1.5364583333333333,0.5364583333333334
loaded_baseline,antmaze-large-diverse-v2,full_bars,0.3,1.0,1.5716255674839583,0.43174695804906177,1.3324995418855299,1.9335113021930355,1.6197916666666667,0.6197916666666666
loaded_baseline,antmaze-large-diverse-v2,full_bars,1.0,1.0,1.2499155203270977,0.5878887981385035,1.4701442370035995,2.896426400144048,1.8307291666666667,0.8307291666666666
loaded_baseline,antmaze-large-diverse-v2,full_bars,3.0,1.0,1.057574684383629,0.9378598291157864,1.694192820461467,5.148274827268669,2.1432291666666665,1.1432291666666667
loaded_baseline,antmaze-large-diverse-v2,reachability,0.0,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-diverse-v2,reachability,0.1,1.0,1.826941490732376,0.0,1.2738664093582581,1.4565605606573324,1.5286458333333333,0.5286458333333334
loaded_baseline,antmaze-large-diverse-v2,reachability,0.3,1.0,1.5190279139169434,0.0,1.3301089751378943,1.7858173518075393,1.625,0.625
loaded_baseline,antmaze-large-diverse-v2,reachability,1.0,1.0,1.1677404546414134,0.0,1.5192238588351756,2.6869643154210885,1.9036458333333333,0.9036458333333334
loaded_baseline,antmaze-large-diverse-v2,reachability,3.0,1.0,1.0338231116390186,0.0,1.7349879239530612,4.836457260921331,2.2109375,1.2109375
loaded_baseline,antmaze-large-diverse-v2,shortest,0.0,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-diverse-v2,shortest,0.1,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-diverse-v2,shortest,0.3,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-diverse-v2,shortest,1.0,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-diverse-v2,shortest,3.0,1.0,2.193449627740241,0.0,1.2563268629989277,1.2563268654824544,1.4921875,0.4921875
loaded_baseline,antmaze-large-play-v2,full_bars,0.0,1.0,2.4250881390847403,0.4189969100005533,1.2613936247847353,1.3870926984445882,1.5078125,0.5078125
loaded_baseline,antmaze-large-play-v2,full_bars,0.1,1.0,2.236397945932064,0.4308873712124355,1.265247393826333,1.6181534001630753,1.5208333333333333,0.5208333333333334
loaded_baseline,antmaze-large-play-v2,full_bars,0.3,1.0,1.8690151607430987,0.5095862914391791,1.3145565784458693,2.028137013922049,1.6067708333333333,0.6067708333333334
loaded_baseline,antmaze-large-play-v2,full_bars,1.0,1.0,1.5084817677646545,0.685820717149936,1.468435919843614,3.1826638983473536,1.8489583333333333,0.8489583333333334
loaded_baseline,antmaze-large-play-v2,full_bars,3.0,1.0,1.3145810681538326,1.0425895027941672,1.66936509606118,5.925885138783525,2.1276041666666665,1.1276041666666667
loaded_baseline,antmaze-large-play-v2,reachability,0.0,1.0,2.490723709564918,0.0,1.2478312584183489,1.247831259155646,1.5026041666666667,0.5026041666666666
loaded_baseline,antmaze-large-play-v2,reachability,0.1,1.0,2.122757600609475,0.0,1.2650657013291493,1.4773414629984474,1.5390625,0.5390625
loaded_baseline,antmaze-large-play-v2,reachability,0.3,1.0,1.7407323426147439,0.0,1.3368383794634913,1.8590580824200817,1.6432291666666667,0.6432291666666666
loaded_baseline,antmaze-large-play-v2,reachability,1.0,1.0,1.3978086993241352,0.0,1.5331413463378947,2.93095004361597,1.9375,0.9375
loaded_baseline,antmaze-large-play-v2,reachability,3.0,1.0,1.2839829742285171,0.0,1.7223572204820812,5.574306126601793,2.2057291666666665,1.2057291666666667
loaded_baseline,antmaze-large-play-v2,shortest,0.0,1.0,2.490723709564918,0.0,1.2478312584183489,1.247831259155646,1.5026041666666667,0.5026041666666666
loaded_baseline,antmaze-large-play-v2,shortest,0.1,1.0,2.490723709564918,0.0,1.2478312584183489,1.247831259155646,1.5026041666666667,0.5026041666666666
loaded_baseline,antmaze-large-play-v2,shortest,0.3,1.0,2.490723709564918,0.0,1.2478312584183489,1.247831259155646,1.5026041666666667,0.5026041666666666
