u,v,edge_weight,edge_metadata_keys,te_score,tdr_distance,is_task_goal_edge,u_dataset_idx,v_dataset_idx,same_trajectory,dt,cross_trajectory,edge_category,stage,evidence_class,env_name,seed,task_id,episode_id,success,path_usage_count,path_usage,failure_association
0,219,3.8189113,weight,,3.8189113,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
2,3,5.960515,weight,,5.960515,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,28,success_path,0
3,33,4.471981,weight,,4.471981,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,28,success_path,0
23,320,5.546981,weight,,5.546981,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,20,success_path,0
24,269,3.617046,weight,,3.617046,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
33,300,4.2789183,weight,,4.2789183,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,29,success_path,0
41,335,7.379185,weight,,7.379185,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
44,513,7.462632,weight,,7.462632,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
45,44,3.7018442,weight,,3.7018442,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
46,560,7.6960764,weight,,7.6960764,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
53,169,5.59022,weight,,5.59022,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,17,success_path,0
69,367,3.7097073,weight,,3.7097073,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,6,success_path,0
71,53,7.579875,weight,,7.579875,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,16,success_path,0
92,524,5.415204,weight,,5.415204,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,30,success_path,0
95,177,4.172313,weight,,4.172313,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,2,success_path,0
129,71,6.4601045,weight,,6.4601045,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,15,success_path,0
169,23,3.9344213,weight,,3.9344213,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,19,success_path,0
173,33,7.12308,weight,,7.12308,0,,,,,,temporal_like_distance_proxy,stage30_official_gas_instrumentation,OFFICIAL_GAS_PATH_EDGE_TRACE,antmaze-medium-navigate-v0,44,1,0,1,1,success_path,0
