cluster,num_segments,num_episodes,min_h,median_h,mean_h,max_h
9,11039,126,1,3.0,2.8056889210979254,5
10,7194,126,1,3.0,2.711148179038087,5
27,2459,74,1,3.0,2.7295648637657584,5
32,6042,105,1,3.0,2.8247269116186695,5
46,8824,97,1,3.0,2.791251133272892,5
47,6921,84,1,3.0,2.748446756249097,5
54,1977,70,1,2.0,2.671219018715225,5
55,3484,69,1,3.0,2.772675086107922,5
56,1898,61,1,2.0,2.654899894625922,5
86,6372,86,1,3.0,2.76789077212806,5
87,4758,81,1,3.0,2.7023959646910467,5
106,3094,83,1,3.0,2.729153199741435,5
126,6035,124,1,3.0,2.6969345484672744,5
127,3229,63,1,2.0,2.625270981728089,5
146,4241,109,1,3.0,2.695119075689696,5
166,5451,88,1,3.0,2.753072830673271,5
167,3243,63,1,2.0,2.6651248843663273,5
186,4896,94,1,3.0,2.739174836601307,5
187,3233,71,1,2.0,2.6702752861119703,5
206,5225,116,1,3.0,2.6999043062200956,5
207,5258,117,1,3.0,2.721186763027767,5
208,2649,63,1,3.0,2.7659494148735373,5
209,3640,87,1,2.0,2.6244505494505495,5
210,3782,91,1,3.0,2.6858804865150714,5
222,1117,45,1,2.0,2.6365264100268577,5
224,3662,58,1,2.0,2.671764063353359,5
229,4637,75,1,2.0,2.654518007332327,5
230,3645,70,1,2.0,2.6087791495198904,5
231,1686,60,1,3.0,2.6725978647686834,5
232,7904,133,1,3.0,2.695723684210526,5
233,5558,121,1,2.0,2.663727959697733,5
235,6444,97,1,3.0,2.6944444444444446,5
241,3117,73,1,3.0,2.67404555662496,5
252,5222,98,1,3.0,2.7481807736499424,5
261,5988,69,1,3.0,2.768370073480294,5
272,8333,104,1,3.0,2.7693507740309613,5
273,4364,64,1,3.0,2.7170027497708524,5
312,13120,120,1,3.0,2.8121951219512193,5
313,7644,145,1,3.0,2.6780481423338567,5
338,2714,52,1,3.0,2.803610906411201,5
