edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit
0,1,7,11,3,4,8,16,21.0,20.181818181818183,23,11,3,3.6666666666666665,11,76,76,76,-0.7471264367816006,0.002275,0.00345,0.3429202558743268,0.473565075387291,0.473565075387291,21.5,unique_starts
1,1,28,16,2,7,8,1,22.0,20.6875,25,16,2,8.0,16,49,49,49,-0.5076923076922999,0.002275,0.002415,0.3429202558743268,0.42854134755998907,0.42854134755998907,22.37796447300923,unique_starts
2,1,56,65,6,19,20,1,13.0,11.569230769230769,21,65,6,10.833333333333334,65,7,7,7,0.8055555555555445,0.002275,0.003085,0.3429202558743268,0.5396960390661362,0.5396960390661362,13.229415733870562,unique_starts
3,1,133,14,2,4,8,20,23.5,23.142857142857142,25,14,2,7.0,14,38,38,38,-0.4615384615384526,0.002275,0.003455,0.3429202558743268,0.40834813465235587,0.40834813465235587,24.0,unique_starts
4,1,167,10,4,5,9,9,16.0,16.1,25,10,4,2.5,10,19,19,19,-0.3103448275861962,0.002275,0.002905,0.3429202558743268,0.5523326473861818,0.5523326473861818,16.447213595499957,unique_starts
5,1,173,14,3,14,3,4,23.0,20.357142857142858,25,14,3,4.666666666666667,14,13,13,13,0.03703703703703567,0.002275,0.002675,0.3429202558743268,0.5108604177721788,0.5108604177721788,23.267261241912426,unique_starts
6,1,196,493,12,60,130,1,19.0,17.83367139959432,25,493,12,41.083333333333336,493,2198,2198,2198,-0.633593459680416,0.002275,0.00287,0.3429202558743268,0.36280201708894627,0.36280201708894627,19.12909944487358,unique_starts
7,1,203,1179,15,172,141,1,10.0,10.128074639525021,21,1179,15,78.6,1179,132,132,132,0.798627002288329,0.002275,0.00251,0.3429202558743268,0.4150831419826281,0.4150831419826281,10.076249285166302,unique_starts
8,1,207,137,8,35,41,1,11.0,11.087591240875913,24,137,8,17.125,137,35,35,35,0.5930232558139501,0.002275,0.002905,0.3429202558743268,0.5142383888493315,0.5142383888493315,11.169030850945703,unique_starts
9,1,222,286,11,44,80,1,6.0,6.968531468531468,25,286,11,26.0,286,1113,1113,1113,-0.591136526090064,0.002275,0.00284,0.3429202558743268,0.4041667145429749,0.4041667145429749,6.150755672288882,unique_starts
10,1,234,33,4,12,13,21,24.0,23.757575757575758,25,33,4,8.25,33,123,123,123,-0.5769230769230732,0.002275,0.0024,0.3429202558743268,0.41427813364900734,0.41427813364900734,24.28867513459481,unique_starts
11,1,257,35,7,10,21,14,22.0,21.428571428571427,25,35,7,5.0,35,4,4,4,0.7948717948717745,0.002275,0.002185,0.3429202558743268,0.3208565710135754,0.3429202558743268,22.316227766016837,unique_starts
12,1,271,7,4,4,7,1,1.0,2.2857142857142856,8,7,4,1.75,7,30,30,30,-0.6216216216216048,0.002275,0.002355,0.3429202558743268,0.46904630509061107,0.46904630509061107,1.5,unique_starts
13,1,280,8,2,8,2,13,22.5,21.375,25,8,2,4.0,8,44,44,44,-0.692307692307679,0.002275,0.002285,0.3429202558743268,0.2860690362208508,0.3429202558743268,22.853553390593273,unique_starts
14,1,299,337,5,64,64,1,12.0,12.795252225519288,25,337,5,67.4,337,1666,1666,1666,-0.6635047428856712,0.002275,0.002525,0.3429202558743268,0.2157923219830574,0.3429202558743268,12.125,unique_starts
15,1,303,31,2,31,2,1,8.0,8.258064516129032,16,31,2,15.5,31,9,9,9,0.5499999999999863,0.002275,0.00247,0.3429202558743268,0.3934030229591559,0.3934030229591559,8.179605302026776,unique_starts
