stage,evidence_class,pre_stage30_results_status,env_name,seed,node_id,is_task_goal_node,degree,in_degree,out_degree,node_metadata_keys,dataset_idx,dataset_idx_available,embedding_match_dist,embedding_match_tolerance,exact_embedding_match
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,0,52,26,26,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,1,0,52,26,26,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,2,0,30,15,15,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,3,0,18,9,9,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,4,0,30,15,15,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,5,0,26,13,13,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,6,0,34,17,17,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,7,0,28,14,14,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,8,0,70,35,35,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,9,0,48,24,24,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,10,0,72,36,36,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,11,0,32,16,16,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,12,0,16,8,8,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,13,0,44,22,22,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,14,0,40,20,20,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,15,0,32,16,16,pos,,0,,,
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_NODE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,16,0,48,24,24,pos,,0,,,
