stage,evidence_class,pre_stage30_results_status,env_name,seed,u,v,edge_id,edge_weight,edge_weight_available,edge_metadata_keys,te_score,te_score_available,tdr_distance,tdr_distance_available,is_task_goal_edge,u_dataset_idx,v_dataset_idx,u_embedding_match_dist,v_embedding_match_dist,u_embedding_match_tolerance,v_embedding_match_tolerance,u_exact_embedding_match,v_exact_embedding_match,edge_dataset_mapping_exact,same_trajectory,same_trajectory_available,dt,dt_available,cross_trajectory,cross_trajectory_available,edge_category,src_degree,dst_degree,src_out_degree,dst_in_degree,edge_usage_count,success_episode_usage,failure_episode_usage,first_failed_frequency
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,105,0->105,6.598782,1,weight,,0,6.598782,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,36,26,18,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,106,0->106,5.6650267,1,weight,,0,5.6650267,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,48,26,24,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,132,0->132,7.576924,1,weight,,0,7.576924,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,54,26,27,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,162,0->162,4.449854,1,weight,,0,4.449854,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,50,26,25,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,199,0->199,7.9513426,1,weight,,0,7.9513426,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,26,26,13,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,200,0->200,7.3901863,1,weight,,0,7.3901863,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,32,26,16,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,201,0->201,7.1047583,1,weight,,0,7.1047583,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,44,26,22,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,218,0->218,6.978646,1,weight,,0,6.978646,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,30,26,15,0,0,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,219,0->219,3.8189113,1,weight,,0,3.8189113,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,46,26,23,2,2,0,0
stage30_official_gas_keygraph_audit,OFFICIAL_GAS_KEYGRAPH_EDGE_DIAGNOSTIC,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,antmaze-medium-navigate-v0,44,0,223,0->223,6.1146317,1,weight,,0,6.1146317,1,0,,,,,,,0,0,0,,0,,0,,0,official_keygraph_edge_metadata_only,52,52,26,26,0,0,0,0
