query_id,src,dst,reachable,path_edges_count,path_cost,path_nodes,path_edge_ids
0,1,12,False,0,inf,,
1,392,381,False,0,inf,,
2,41,9,False,0,inf,,
3,381,392,False,0,inf,,
4,384,383,True,1,4.0541530361073885,384 383,153
5,315,229,False,0,inf,,
6,227,47,False,0,inf,,
7,387,301,False,0,inf,,
8,227,312,False,0,inf,,
9,124,7,False,0,inf,,
10,127,4,False,0,inf,,
11,318,392,False,0,inf,,
12,229,124,False,0,inf,,
13,301,227,False,0,inf,,
14,198,230,False,0,inf,,
15,221,381,False,0,inf,,
16,390,252,False,0,inf,,
17,7,187,False,0,inf,,
18,41,10,False,0,inf,,
19,386,301,False,0,inf,,
20,358,273,False,0,inf,,
21,4,52,False,0,inf,,
22,186,235,False,0,inf,,
23,358,353,False,0,inf,,
24,209,198,False,0,inf,,
25,46,52,False,0,inf,,
26,9,127,False,0,inf,,
27,301,227,False,0,inf,,
28,4,52,False,0,inf,,
29,318,392,False,0,inf,,
30,3,52,False,0,inf,,
31,13,1,False,0,inf,,
32,229,178,False,0,inf,,
33,226,300,False,0,inf,,
34,4,121,False,0,inf,,
35,146,41,False,0,inf,,
36,221,233,False,0,inf,,
37,13,87,False,0,inf,,
38,390,341,False,0,inf,,
39,301,226,False,0,inf,,
40,41,146,False,0,inf,,
41,124,7,False,0,inf,,
42,273,166,False,0,inf,,
43,306,393,False,0,inf,,
44,87,1,False,0,inf,,
45,224,124,False,0,inf,,
46,312,206,False,0,inf,,
47,306,381,False,0,inf,,
48,358,252,False,0,inf,,
49,224,341,False,0,inf,,
50,340,204,False,0,inf,,
51,121,46,False,0,inf,,
52,392,381,False,0,inf,,
53,346,346,True,0,0.0,346,
54,381,306,False,0,inf,,
55,1,12,False,0,inf,,
56,261,229,False,0,inf,,
57,381,306,False,0,inf,,
58,386,301,False,0,inf,,
59,198,229,False,0,inf,,
60,381,392,False,0,inf,,
61,4,126,False,0,inf,,
62,272,187,False,0,inf,,
63,9,126,False,0,inf,,
64,300,387,False,0,inf,,
65,86,187,False,0,inf,,
66,261,166,False,0,inf,,
67,232,393,True,8,32.72117689658883,232 252 272 292 312 332 352 372 393,88 98 103 112 124 132 141 150
68,386,301,False,0,inf,,
69,381,221,False,0,inf,,
70,221,127,False,0,inf,,
71,229,124,False,0,inf,,
