stage,evidence_class,pre_stage30_results_status,official_repo_url,official_hf_repo,gas_repo_path,official_repo_sha,gas_vendor_tree_sha256,artifact_root,env_name,seed,keygraph_path,keygraph_sha256,policy_path,policy_sha256,tdr_path,tdr_sha256,official_eval_csv,artifact_manifest,task_id,episode_count,goal_threshold,subgoal_horizon,evaluation_command,wrapper_status,eval_on_cpu,gpu,official_graph_modified,official_planner_modified,official_policy_modified,official_action_outputs_modified,recover_dataset_indices,node_map_tolerance,fallback_mode,max_task_id,official_task_id_source,source_file
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44,antmaze-giant-navigate-v0,44,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44/graph/keygraph.pkl,f18998138996e7b0a003f1f3dbf777e53779f8181523285d3b2a751e1eff4c3b,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44/policy/params_1000000.pkl,0f59c6d174808a4ea2faa9c578f260dd48200d049050cf219a4ffb4109b6e13b,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44/tdr/params_1000000.pkl,57990a6523911dfa51ba1236badcd940199d5f9b2766cb307288ad352a82b3c3,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed44/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed44/instrumentation --envs antmaze-giant-navigate-v0 --seeds 44 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 0 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,0,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed44/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45,antmaze-giant-navigate-v0,45,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45/graph/keygraph.pkl,50aa4436854dfdcff0094fa4c4fcee55da379a697a5d555aa00aede1537fb373,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45/policy/params_1000000.pkl,65c6656cee9706080c262f06a39e225d913046c7a6277fe9a1340179ed2d9614,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45/tdr/params_1000000.pkl,5184779aabff83fcac81388778a9ea5f5485dcba2bdf30594f673e129f65f5ea,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed45/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed45/instrumentation --envs antmaze-giant-navigate-v0 --seeds 45 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 1 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,1,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed45/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46,antmaze-giant-navigate-v0,46,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46/graph/keygraph.pkl,930f81d3b20ad9415c903a2c1bfc15111d12e3769cc33fa7fbda83ae68ae958b,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46/policy/params_1000000.pkl,1c9a0bf00dfd126bbbc6698a1fa977dbd3488bb36ceb5cb27dcebd164640a177,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46/tdr/params_1000000.pkl,3576e5d79a61f1c17d9e598628761a0c31a047e0d92193a8c01c1cffd3c48918,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-navigate-v0/seed46/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed46/instrumentation --envs antmaze-giant-navigate-v0 --seeds 46 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 0 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,0,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-navigate-v0/seed46/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44,antmaze-giant-stitch-v0,44,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44/graph/keygraph.pkl,fe6f80150df1d00f77e4328195dc98b206385d1aecf81f2a51dc2fe7092159c1,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44/policy/params_1000000.pkl,4ca25b98e7438fb3d6eb4a1fbd24613288e785b9e895fe2099348bd829bd3bdf,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44/tdr/params_1000000.pkl,1f2ce7d933d72e1a09b0efd98e2cd64d77b7dd69b90c3243b4901b7f90d8892f,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed44/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed44/instrumentation --envs antmaze-giant-stitch-v0 --seeds 44 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 1 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,1,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed44/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45,antmaze-giant-stitch-v0,45,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45/graph/keygraph.pkl,b645c25dfc6cbd05278c7c2926b545ddffa1dbb21f12fcf9cbb4df2ba55656dd,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45/policy/params_1000000.pkl,d0d5c3d26ad303840c855783424c122f30f9e8166c9099b40ef0c54195d83967,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45/tdr/params_1000000.pkl,30c97d8ac89d01429630ce3c87365cfa1b32689d7aec04fefa9b033c15baacf8,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed45/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed45/instrumentation --envs antmaze-giant-stitch-v0 --seeds 45 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 0 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,0,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed45/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46,antmaze-giant-stitch-v0,46,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46/graph/keygraph.pkl,9716413aac11d85ac418d4879e84a5f67a2d4ec2ac7c81ba450884138aa950d1,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46/policy/params_1000000.pkl,faf67189d441727f0715aa62d092d91992212edc82e6c4485c8d9bd5b25bc24f,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46/tdr/params_1000000.pkl,09c2b9024f9c06e5db81b41c3458f9036341d4211391224d160dcd217d58e1db,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-giant-stitch-v0/seed46/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed46/instrumentation --envs antmaze-giant-stitch-v0 --seeds 46 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 1 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,1,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-giant-stitch-v0/seed46/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44,antmaze-large-explore-v0,44,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44/graph/keygraph.pkl,450c5e1d964eda02a188d63465e9034068d6f233b32939b32c650eb52e7e8153,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44/policy/params_1000000.pkl,7b791988bf51dae4f5a60cba89cfdafd5a40af3b37c51bc8d9d7a2fa9f426cd5,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44/tdr/params_1000000.pkl,4084ddadd45ede58d1a86e0b26ba5012458c879f5c542587bcbdd18b41c78dc8,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed44/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed44/instrumentation --envs antmaze-large-explore-v0 --seeds 44 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 0 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,0,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed44/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45,antmaze-large-explore-v0,45,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45/graph/keygraph.pkl,5157e0951230729c3e67f22c75965bc3f3561cbee9a0c356db49da022286d3fd,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45/policy/params_1000000.pkl,ea5ec368802c4dd484f21dab75eb8e53d4cf292723a17fbc71afab603f05017b,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45/tdr/params_1000000.pkl,9d569c7575fc511bc69a1aca2478c27229693aa1fd51d9ab1252260beda0114e,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed45/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed45/instrumentation --envs antmaze-large-explore-v0 --seeds 45 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 1 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,1,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed45/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46,antmaze-large-explore-v0,46,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46/graph/keygraph.pkl,e616ffdd2a4c508ea5c2830f828b1a4db6cc6c7a6000d6847e7fd33f8a716f6a,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46/policy/params_1000000.pkl,988b9ca54a943193a41beea0165843189e61171e5325ba8c0f38d2b425661aa1,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46/tdr/params_1000000.pkl,8b6f8b71a2f076aff2a7e36ed2f2f0156315f3df8f4cfcb8bfac48275047175b,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-explore-v0/seed46/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed46/instrumentation --envs antmaze-large-explore-v0 --seeds 46 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 0 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,0,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-large-explore-v0/seed46/instrumentation/protocol_lock.csv
stage30_official_gas_instrumentation,OFFICIAL_GAS_PROTOCOL_LOCK,ARCHIVED_INTERNAL_EXPLORATION_NOT_GAS_EVIDENCE,https://github.com/qortmdgh4141/GAS.git,qortmdgh4141/GAS,external_src/GAS,UNAVAILABLE_IN_VENDOR_COPY,eb5cd4a3e69cbf1a4077650a466352341c8692013846425b62445f9052279cb6,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44,antmaze-large-navigate-v0,44,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44/graph/keygraph.pkl,24781a04ae056aed1899f5ad219a7d0ec9fb54c2977e0d5dc498e2d725bf9318,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44/policy/params_1000000.pkl,e6eca46293271f5f998e671ac7129f6b7a40892ada9e2278c995041a1643e828,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44/tdr/params_1000000.pkl,f21059110a3ddb44d12a2adfcd07eb3fd02c2bc03365df1e00de5eda98f9552a,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44/policy/eval.csv,artifacts/gas_ogbench_offline_full_20260522_165138/antmaze-large-navigate-v0/seed44/manifest.json,"1,2,3,4,5",50,2,8,/root/miniconda3/envs/gcrlo/bin/python scripts/stage30_official_gas_instrument.py --artifact-root artifacts/gas_ogbench_offline_full_20260522_165138 --gas-repo-path external_src/GAS --out-root runs_stage31_official_gas/wide_atlas_active/antmaze-large-navigate-v0/seed44/instrumentation --envs antmaze-large-navigate-v0 --seeds 44 --task-ids auto --max-task-id 5 --episodes 50 --eval-on-cpu 0 --gpu 1 --fallback-mode none --recover-dataset-indices 0 --node-map-batch-size 4096 --node-map-tolerance 1e-5,OFFICIAL_GAS_NON_INVASIVE_TRACE_ACTIONS_UNCHANGED,0,1,0,0,0,0,0,1e-05,none,5,auto_env_task_infos,runs_stage31_official_gas/wide_atlas_active/antmaze-large-navigate-v0/seed44/instrumentation/protocol_lock.csv
