edge_id,src,dst,num_segments,num_episodes,min_h,median_h,mean_h,max_h,support_count,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score
0,0,57,124,10,1,6.0,5.846774193548387,10,124,719,-0.7058125741399754,0.00358,0.002985,0.45950620974117795,0.5372918071902918,0.5372918071902918
1,0,85,49,3,1,7.0,6.36734693877551,10,49,101,-0.34666666666666435,0.00358,0.00336,0.45950620974117795,0.46211032510296324,0.46211032510296324
2,0,108,506,11,1,7.0,7.059288537549407,10,506,3,0.9882121807465599,0.00358,0.00302,0.45950620974117795,0.5718442734172178,0.5718442734172178
3,0,117,227,4,1,7.0,7.026431718061674,10,227,200,0.06323185011709587,0.00358,0.001925,0.45950620974117795,0.5408010056967594,0.5408010056967594
4,0,118,107,10,1,8.0,7.691588785046729,10,107,97,0.04901960784313702,0.00358,0.004295,0.45950620974117795,0.4417352372842072,0.45950620974117795
5,0,207,85,3,2,8.0,7.3882352941176475,10,85,0,0.9999999999999883,0.00358,0.002695,0.45950620974117795,0.32316245182691505,0.45950620974117795
6,0,287,336,16,1,6.0,5.651785714285714,10,336,59,0.7012658227848083,0.00358,0.002575,0.45950620974117795,0.5145683455004622,0.5145683455004622
7,1,56,530,19,1,6.0,5.564150943396227,10,530,0,0.9999999999999981,0.00349,0.002585,0.673442512637898,0.48875811213252385,0.673442512637898
8,1,63,11,4,1,3.0,3.8181818181818183,9,11,636,-0.9659969088098903,0.00349,0.0027,0.673442512637898,0.47694324898144264,0.673442512637898
9,1,112,400,19,1,5.0,5.075,10,400,0,0.9999999999999974,0.00349,0.00368,0.673442512637898,0.6845599026807774,0.6845599026807774
10,1,124,16,6,1,9.0,7.5625,10,16,135,-0.7880794701986703,0.00349,0.00296,0.673442512637898,0.430324664260063,0.673442512637898
11,1,163,39,3,1,6.0,5.871794871794871,10,39,381,-0.8142857142857123,0.00349,0.00291,0.673442512637898,0.5029006203486728,0.673442512637898
