edge_id,src,dst,num_segments,num_episodes,num_unique_starts,num_unique_terminations,min_h,median_h,mean_h,max_h,num_unique_start_goal_pairs,num_unique_episodes,support_density_per_episode,support_count,reverse_support_raw,reverse_support_certified,reverse_support_count,asymmetry,src_density,dst_density,src_bottleneck_score,dst_bottleneck_score,edge_bottleneck_score,cost,cost_support_unit
0,1,56,14,4,4,14,1,2.5,2.5714285714285716,5,14,4,3.5,14,0,0,0,0.9999999999999286,0.002275,0.003085,0.48933229191993516,0.5476821446904186,0.5476821446904186,3.0,unique_starts
1,1,130,11,2,3,11,1,3.0,3.1818181818181817,5,11,2,5.5,11,0,0,0,0.9999999999999091,0.002275,0.00218,0.48933229191993516,0.4033784238911564,0.48933229191993516,3.5773502691896257,unique_starts
2,1,196,28,7,15,15,1,2.0,2.642857142857143,5,28,7,4.0,28,130,130,130,-0.6455696202531604,0.002275,0.00287,0.48933229191993516,0.3938063547620109,0.48933229191993516,2.258198889747161,unique_starts
3,1,207,28,6,11,19,1,4.0,3.607142857142857,5,28,6,4.666666666666667,28,0,0,0,0.9999999999999644,0.002275,0.002905,0.48933229191993516,0.5763715552336803,0.5763715552336803,4.301511344577763,unique_starts
4,1,222,117,11,36,61,1,3.0,3.264957264957265,5,117,11,10.636363636363637,117,178,178,178,-0.20677966101694845,0.002275,0.00284,0.48933229191993516,0.36891735569835515,0.48933229191993516,3.1666666666666665,unique_starts
5,1,263,18,3,8,8,1,4.0,3.7222222222222223,5,18,3,6.0,18,0,0,0,0.9999999999999445,0.002275,0.00213,0.48933229191993516,0.4677694417137528,0.48933229191993516,4.353553390593274,unique_starts
6,1,271,6,4,4,6,1,1.0,1.3333333333333333,2,6,4,1.5,6,13,13,13,-0.3684210526315596,0.002275,0.002355,0.48933229191993516,0.7393293140999965,0.7393293140999965,1.5,unique_starts
7,1,297,5,2,2,5,1,2.0,2.2,4,5,2,2.5,5,7,7,7,-0.16666666666665278,0.002275,0.001635,0.48933229191993516,0.4467015809554916,0.48933229191993516,2.7071067811865475,unique_starts
8,1,355,3,2,2,3,1,1.0,1.3333333333333333,2,3,2,1.5,3,10,10,10,-0.538461538461497,0.002275,0.00217,0.48933229191993516,0.4726666291061638,0.48933229191993516,1.7071067811865475,unique_starts
9,1,362,163,13,71,52,1,4.0,3.423312883435583,5,163,13,12.538461538461538,163,0,0,0,0.9999999999999939,0.002275,0.002515,0.48933229191993516,0.46099070498120004,0.48933229191993516,4.118678165819385,unique_starts
10,1,429,160,22,39,115,1,3.0,3.23125,5,160,22,7.2727272727272725,160,18,18,18,0.7977528089887596,0.002275,0.0033,0.48933229191993516,0.7518556148223536,0.7518556148223536,3.160128153805087,unique_starts
11,3,57,75,6,32,22,1,4.0,3.4,5,75,6,12.5,75,0,0,0,0.9999999999999868,0.003565,0.002505,0.6286217318491387,0.3859177915559212,0.6286217318491387,4.1767766952966365,unique_starts
12,3,206,361,30,154,143,1,4.0,3.8670360110803323,5,361,30,12.033333333333333,361,0,0,0,0.9999999999999971,0.003565,0.002645,0.6286217318491387,0.44925811615597827,0.6286217318491387,4.080582296402538,unique_starts
13,3,406,685,35,246,246,1,4.0,3.5547445255474455,5,685,35,19.571428571428573,685,0,0,0,0.9999999999999986,0.003565,0.002805,0.6286217318491387,0.5172113057375602,0.6286217318491387,4.063757671306334,unique_starts
14,6,13,6,5,6,6,5,5.0,5.0,5,6,5,1.2,6,36,36,36,-0.7142857142856972,0.003095,0.001505,0.42152009373078086,0.554199568997198,0.554199568997198,5.408248290463863,unique_starts
15,6,21,38,11,38,11,2,3.0,3.473684210526316,5,38,11,3.4545454545454546,38,0,0,0,0.9999999999999737,0.003095,0.001335,0.42152009373078086,0.46391095683033756,0.46391095683033756,3.1622214211307624,unique_starts
16,6,51,231,23,69,123,1,4.0,3.4155844155844157,5,231,23,10.043478260869565,231,36,36,36,0.7303370786516826,0.003095,0.002095,0.42152009373078086,0.41788662977020846,0.42152009373078086,4.120385853085769,unique_starts
17,6,108,28,3,7,20,1,3.0,3.0,5,28,3,9.333333333333334,28,1,0,0,0.9999999999999644,0.003095,0.00222,0.42152009373078086,0.36721504130459026,0.42152009373078086,3.3779644730092273,unique_starts
18,6,156,23,15,21,21,4,5.0,4.913043478260869,5,23,15,1.5333333333333334,23,0,0,0,0.9999999999999566,0.003095,0.001425,0.42152009373078086,0.4892239201535476,0.4892239201535476,5.218217890235993,unique_starts
19,6,179,80,19,80,23,2,3.0,3.4875,5,80,19,4.2105263157894735,80,0,0,0,0.9999999999999876,0.003095,0.00165,0.42152009373078086,0.5564168064445675,0.5564168064445675,3.1118033988749896,unique_starts
20,6,186,40,8,34,11,2,4.0,3.575,5,40,8,5.0,40,0,0,0,0.9999999999999749,0.003095,0.00126,0.42152009373078086,0.43115922502005144,0.43115922502005144,4.171498585142508,unique_starts
21,6,195,74,15,74,19,1,3.0,2.77027027027027,5,74,15,4.933333333333334,74,0,0,0,0.9999999999999866,0.003095,0.0012,0.42152009373078086,0.37381557077521704,0.42152009373078086,3.116247638743819,unique_starts
22,6,243,6,4,6,4,1,1.0,1.3333333333333333,2,6,4,1.5,6,5,5,5,0.09090909090908264,0.003095,0.002845,0.42152009373078086,0.513207298120322,0.513207298120322,1.4082482904638631,unique_starts
23,6,245,10,2,7,5,3,4.0,4.0,5,10,2,5.0,10,0,0,0,0.9999999999999,0.003095,0.00107,0.42152009373078086,0.4274154862127174,0.4274154862127174,4.377964473009227,unique_starts
24,6,309,76,11,37,32,1,4.0,3.6447368421052633,5,76,11,6.909090909090909,76,343,343,343,-0.6372315035799507,0.003095,0.003055,0.42152009373078086,0.5364209769251034,0.5364209769251034,4.164398987305358,unique_starts
25,6,313,131,22,70,67,3,4.0,4.343511450381679,5,131,22,5.954545454545454,131,38,38,38,0.5502958579881625,0.003095,0.001605,0.42152009373078086,0.5515643026284701,0.5515643026284701,4.119522860933439,unique_starts
26,6,319,58,14,36,29,2,4.0,4.189655172413793,5,58,14,4.142857142857143,58,31,31,31,0.30337078651685057,0.003095,0.002245,0.42152009373078086,0.7112287454915991,0.7112287454915991,4.166666666666667,unique_starts
27,6,381,69,14,54,30,2,4.0,4.217391304347826,5,69,14,4.928571428571429,69,2,0,0,0.9999999999999856,0.003095,0.001595,0.42152009373078086,0.5810507181516483,0.5810507181516483,4.136082763487955,unique_starts
28,6,409,35,10,35,11,2,3.0,3.4285714285714284,5,35,10,3.5,35,0,0,0,0.9999999999999714,0.003095,0.00128,0.42152009373078086,0.40308796563907545,0.42152009373078086,3.1690308509457035,unique_starts
29,6,444,23,3,12,6,1,3.0,2.9565217391304346,5,23,3,7.666666666666667,23,0,0,0,0.9999999999999566,0.003095,0.00186,0.42152009373078086,0.3671808446400463,0.42152009373078086,3.288675134594813,unique_starts
30,7,28,29,4,13,12,1,4.0,3.4827586206896552,5,29,4,7.25,29,0,0,0,0.9999999999999656,0.00345,0.002415,0.5062871159227141,0.48414822177825134,0.5062871159227141,4.277350098112614,unique_starts
31,7,77,29,5,12,15,1,4.0,3.3793103448275863,5,29,5,5.8,29,0,0,0,0.9999999999999656,0.00345,0.00234,0.5062871159227141,0.4507143482763388,0.5062871159227141,4.288675134594813,unique_starts
32,7,135,142,12,40,80,1,3.0,3.232394366197183,5,142,12,11.833333333333334,142,167,167,167,-0.08090614886731365,0.00345,0.00185,0.5062871159227141,0.41214443236490744,0.5062871159227141,3.158113883008419,unique_starts
33,7,143,40,6,17,19,1,4.0,3.65,5,40,6,6.666666666666667,40,35,35,35,0.06666666666666578,0.00345,0.003425,0.5062871159227141,0.37925676707941836,0.5062871159227141,4.242535625036333,unique_starts
34,7,167,7,2,3,4,1,3.0,2.5714285714285716,4,7,2,3.5,7,14,14,14,-0.3333333333333175,0.00345,0.002905,0.5062871159227141,0.6471630424319675,0.6471630424319675,3.5773502691896257,unique_starts
35,7,196,30,3,10,11,1,4.0,3.5,5,30,3,10.0,30,8,0,0,0.9999999999999667,0.00345,0.00287,0.5062871159227141,0.3938063547620109,0.5062871159227141,4.316227766016838,unique_starts
36,7,222,120,7,40,41,1,4.0,3.6666666666666665,5,120,7,17.142857142857142,120,0,0,0,0.9999999999999917,0.00345,0.00284,0.5062871159227141,0.36891735569835515,0.5062871159227141,4.1581138830084186,unique_starts
37,7,290,37,6,14,22,1,3.0,3.108108108108108,5,37,6,6.166666666666667,37,196,196,196,-0.682403433476392,0.00345,0.002905,0.5062871159227141,0.6509701161632078,0.6509701161632078,3.2672612419124243,unique_starts
38,7,470,39,8,17,24,1,3.0,3.2051282051282053,5,39,8,4.875,39,17,17,17,0.39285714285713585,0.00345,0.00222,0.5062871159227141,0.3860457503786458,0.5062871159227141,3.242535625036333,unique_starts
